"Facility Name","Location Type","Operator","Status","Open","Hours of Operation","Accessibility","Restroom Type","Changing Stations","Additional Notes","Website","Latitude","Longitude","Location"
"South Shore Golf Course","Park","NYC Parks Concessionaire","Operational","Year Round","6:00am-8:00pm Daily","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","No",,,"40.551065","-74.205152","POINT (-74.205152 40.551065)"
"Fort Washington Park Zone 2A","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","No",,,"40.84721","-73.9462","POINT (-73.9462 40.84721)"
"High Rock Park","Park","NYC Parks","Not Operational",,"8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""N/A, restrooms closed""",,,"40.582768","-74.122539","POINT (-74.122539 40.582768)"
"Jerome Playground","Park","NYC Parks","Not Operational",,,"Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.65891","-73.8794","POINT (-73.8794 40.65891)"
"805 Third Avenue POPS","Privately Owned Public Space","Cohen Brothers Real Estate Development Corporation","Operational","Year Round","Monday to Friday: 8:00 am-7:00 pm","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.755396","-73.970541","POINT (-73.970541 40.755396)"
"Gerard P. Dugan Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.56156","-74.1115","POINT (-74.1115 40.56156)"
"McLaughlin Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.69667","-73.986","POINT (-73.986 40.69667)"
"Athens Square","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,,"40.76801","-73.9219","POINT (-73.9219 40.76801)"
"Irving Square Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,,,,"40.692707","-73.909205","POINT (-73.909205 40.692707)"
"Morris Park Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.nypl.org/locations/morris-park","40.848037","-73.856959","POINT (-73.856959 40.848037)"
"Claremont Zone 3","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.83767","-73.908","POINT (-73.908 40.83767)"
"Hunters Point South","Park","Private developer","Operational","Year Round",,,,,,,"40.738411","-73.960924","POINT (-73.960924 40.738411)"
"Havemeyer Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.82998","-73.8479","POINT (-73.8479 40.82998)"
"Cypress Hills Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.67075","-73.8711","POINT (-73.8711 40.67075)"
"Arverne Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","Yes",,"https://www.queenslibrary.org/about-us/locations/arverne","40.593155","-73.784041","POINT (-73.784041 40.593155)"
"Robert Moses Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,,"40.74809","-73.9687","POINT (-73.9687 40.74809)"
"Clarendon Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible",,,,"https://www.bklynlibrary.org/locations/clarendon","40.635748","-73.947636","POINT (-73.947636 40.635748)"
"Sheep Meadow","Park","NYC Parks","Operational","Year Round","6:00am-11:00pm","Fully Accessible",,,,,"40.77305","-73.9744","POINT (-73.9744 40.77305)"
"Brookville Park Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,,"40.66219","-73.7422","POINT (-73.7422 40.66219)"
"Moore Homestead Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","No",,,"40.74234","-73.8824","POINT (-73.8824 40.74234)"
"Reiff Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.71886","-73.9019","POINT (-73.9019 40.71886)"
"Mahoney Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.64348","-74.0862","POINT (-74.0862 40.64348)"
"Millennium Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.63548","-74.0193","POINT (-74.0193 40.63548)"
"Queensbridge Park","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.7551","-73.9496","POINT (-73.9496 40.7551)"
"Sachkerah Woods Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.88368","-73.8816","POINT (-73.8816 40.88368)"
"Woodlawn Heights Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","No",,"https://www.nypl.org/locations/woodlawn-heights","40.900448","-73.867943","POINT (-73.867943 40.900448)"
"Bronx Library Center, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 9:00 am - 9:00 pm 
Tuesday: 9:00 am - 9:00 pm
Wednesday: 9:00 am - 9:00 pm
Thursday: 9:00 am - 9:00 pm
Friday: 10:00 am - 8:00 pm 
Saturday: 10:00 am - 8:00 pm","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","""Yes, in single-stall all gender restroom only""",,"https://www.nypl.org/locations/bronx-library-center","40.862989","-73.894504","POINT (-73.894504 40.862989)"
"Queensbridge Tech Lab Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 12:00 pm - 8:00 pm 
Tuesday: Closed 
Wednesday: 12:00 pm - 8:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: Closed 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","No","Yes, a key is needed to enter","https://www.queenslibrary.org/programs-activities/technology-training/queensbridge-tech-lab","40.754953","-73.944111","POINT (-73.944111 40.754953)"
"Tottenville Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm 
Wednesday: 11:00 am -6:00 pm 
Thursday: 11:00 am - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","No","Changing Table inside community room","https://www.nypl.org/locations/tottenville","40.509539","-74.244108","POINT (-74.244108 40.509539)"
"Sumner Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.69716","-73.9428","POINT (-73.9428 40.69716)"
"Cunningham Park Zone 3","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.73664","-73.7707","POINT (-73.7707 40.73664)"
"Dr. Green Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.66737","-73.9074","POINT (-73.9074 40.66737)"
"Rev. Dr. Maggie Howard Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.62268","-74.0792","POINT (-74.0792 40.62268)"
"John Golden Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.77409","-73.7677","POINT (-73.7677 40.77409)"
"Captain Rivera Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in men's restroom only""",,,"40.81795","-73.9068","POINT (-73.9068 40.81795)"
"St. Catherine's Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,,"40.76531","-73.9586","POINT (-73.9586 40.76531)"
"Whitestone Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.79188","-73.8083","POINT (-73.8083 40.79188)"
"Brighton Beach Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,"https://www.bklynlibrary.org/locations/brighton-beach","40.576116","-73.966776","POINT (-73.966776 40.576116)"
"Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.74916","-73.8038","POINT (-73.8038 40.74916)"
"Spuyten Duyvil Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in men's restroom only""",,,"40.88715","-73.9162","POINT (-73.9162 40.88715)"
"Leonardo Ingravallo Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","No",,,"40.77597","-73.8172","POINT (-73.8172 40.77597)"
"Coney Island Beach Zone 2b","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.57465","-73.9645","POINT (-73.9645 40.57465)"
"The High Line Zone 1","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally",,,,,,"40.73949","-74.0082","POINT (-74.0082 40.73949)"
"Queens Village Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","Yes","Yes, a key is needed to enter","https://www.queenslibrary.org/about-us/locations/queens-village","40.719897","-73.73905","POINT (-73.73905 40.719897)"
"Howard Von Dohlen Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.69965","-73.8131","POINT (-73.8131 40.69965)"
"Park Slope Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/park-slope","40.668243","-73.983457","POINT (-73.983457 40.668243)"
"Farm Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.73606","-73.7773","POINT (-73.7773 40.73606)"
"Clintonville Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.78302","-73.8068","POINT (-73.8068 40.78302)"
"Juniper North Playground Tennis","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.72067","-73.8774","POINT (-73.8774 40.72067)"
"Flushing Meadows Ice Rink","Park","NYC Parks Concessionaire","Operational","Year Round","M-F 10:30am-5:15pm S-S 12:00pm-8:00pm","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.751909","-73.837891","POINT (-73.837891 40.751909)"
"Bay Ridge Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,"https://www.bklynlibrary.org/locations/bay-ridge","40.633634","-74.02954","POINT (-74.02954 40.633634)"
"John J Carty Park","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.6145","-74.0294","POINT (-74.0294 40.6145)"
"Marble Hill Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.87769","-73.9079","POINT (-73.9079 40.87769)"
"Carroll Gardens Library, BPL","Library","BPL","Closed for Construction","Year Round",,"Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/carroll-gardens","40.683222","-73.99802","POINT (-73.99802 40.683222)"
"Union Square Park","Park","NYC Parks","Operational","Year Round","12:00pm-11:00pm","Fully Accessible",,"Yes",,,"40.73645","-73.9899","POINT (-73.9899 40.73645)"
"Richmondtown Library, NYPL","Library","NYPL","Closed for Construction","Future","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm  
Wednesday: 10:00 am - 6:00 pm   
Thursday: 10:00 am - 6:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.nypl.org/locations/richmondtown","40.566538","-74.138535","POINT (-74.138535 40.566538)"
"Paerdegat Basin Marina 2","Park","NYC Parks Concessionaire","Operational","Year Round","9:00am-5:00pm","Partially Accessible","Both Single-Stall All Gender and Multi-Stall W/M","No",,,"40.626089","-73.902536","POINT (-73.902536 40.626089)"
"Hollis Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.70672","-73.7531","POINT (-73.7531 40.70672)"
"Fort Totten Park Zone 1","Park","NYC Parks","Not Operational",,,,,,,,"40.79527","-73.7775","POINT (-73.7775 40.79527)"
"Woodside Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","Yes","Yes, a key is needed to enter","https://www.queenslibrary.org/about-us/locations/woodside","40.74535","-73.909795","POINT (-73.909795 40.74535)"
"Kips Bay Library, NYPL","Library","NYPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.nypl.org/locations/kips-bay","40.743818","-73.979903","POINT (-73.979903 40.743818)"
"Woodhaven Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","Yes",,"https://www.queenslibrary.org/about-us/locations/woodhaven","40.694539","-73.861459","POINT (-73.861459 40.694539)"
"Rockaway Beach 07b","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.58057","-73.8261","POINT (-73.8261 40.58057)"
"Belvedere Castle","Park","Central Park Conservancy","Not Operational","Year Round","6am - dusk","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.780427","-73.969136","POINT (-73.969136 40.780427)"
"East Flatbush Library, BPL","Library","BPL","Operational","Year Round","Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED","Fully Accessible","Single-Stall All Gender Restroom(s)","Yes",,"https://www.bklynlibrary.org/locations/east-flatbush","40.655719","-73.914942","POINT (-73.914942 40.655719)"
"Ferry Point Golf Course","Park","NYC Parks Concessionaire","Operational","Year Round","6:30am-10:00pm Daily","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","No",,,"40.815276","-73.831236","POINT (-73.831236 40.815276)"
"Slattery Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.85715","-73.8982","POINT (-73.8982 40.85715)"
"Rudd Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.68332","-73.905","POINT (-73.905 40.68332)"
"Foster Park Zone 1","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","No",,,"40.83119","-73.9247","POINT (-73.9247 40.83119)"
"Douglaston-Little Neck Library, QPL","Library","QPL","Operational","Year Round","Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,"Single-Stall All Gender Restroom(s)","Yes","Yes, a key is needed to enter","https://www.queenslibrary.org/about-us/locations/douglaston","40.768234","-73.738231","POINT (-73.738231 40.768234)"
"Benson Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.60237","-74.0023","POINT (-74.0023 40.60237)"
"Willink Hill","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.66291","-73.9635","POINT (-73.9635 40.66291)"
"Martinez Playground","Park","NYC Parks","Not Operational",,,,,"No",,,"40.70899","-73.9444","POINT (-73.9444 40.70899)"
"Neufeld Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Not Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.78344","-73.9848","POINT (-73.9848 40.78344)"
"Brigadier General Charles Young Playground","Park","NYC Parks","Operational","Seasonal","8am-4pm, Open later seasonally","Fully Accessible","Both Single-Stall All Gender and Multi-Stall W/M","Yes",,,"40.81961","-73.9362","POINT (-73.9362 40.81961)"
"Kaiser Park Zone 1","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","Yes",,,"40.57852","-73.9954","POINT (-73.9954 40.57852)"
"Hilton White Playground","Park","NYC Parks","Operational","Year Round","8am-4pm, Open later seasonally","Fully Accessible","Multi-Stall W/M Restrooms","""Yes, in women's restroom only""",,,"40.82291","-73.9075","POINT (-73.9075 40.82291)"
